"Genres","Title","Year","Votes","Rating"
"Drama,Short","Tired of Being Funny",2009,10,7.3
"Drama,Romance","If I Were Free",1933,233,6.0
"Drama","Locura pasional",1956,12,5.5
"Crime,Drama,Horror","Strange Confession",1945,380,6.8
"Comedy","Misconduct",1966,7,5.6
"Comedy","Sock It to Me",1968,20,6.8
"Biography,Crime,Drama","Pay or Die!",1960,436,7.0
"Comedy,Drama,Family","Hunk in the House",1987,5,8.8
"Action,Drama,Short","The Planter's Wife",1908,8,5.4
"Documentary","Flying the Feathered Edge: The Bob Hoover Project",2014,30,8.9
"Music,Romance","The Vagabond's Valse",1941,241,6.4
"Comedy,Romance","Toukokuun taika",1948,24,4.8
"Crime,Drama,Mystery","The Case of the Bartered Bikini",1959,130,7.9
"Crime,Drama,Thriller","City of Fear",1959,762,6.4
"Action,Adventure,Drama","Khartoum",1966,6213,6.8
"Music","Falco - Helden von heute",1984,8,8.2
"Drama,Short","A Woman Scorned",1911,11,6.1
"Action,Adventure,Crime","Let Our Angel Live",1981,79,7.0
"Animation,Comedy,Family","Big-Hearted Bosko",1932,109,5.1
"Comedy,Family","Episode #10.15",1977,8,8.8
"Western","Chicken",1964,94,8.6
"Drama","Aishu no circuit",1972,9,5.8
"Family","Das tapfere Schneiderlein",1941,20,5.6
"Comedy,Family","Potty Time",1973,47,7.9
"Crime,Drama,Thriller","Goodbye Mama, Hello Auntie Maud",1962,33,8.1
"Drama","The Day the Earth Moved",1974,172,5.3
"Comedy,Western","The Twinkle in God's Eye",1955,53,5.7
"Documentary,Short","Cat College",1940,5,7.0
"Documentary,Short","Korea: Overview",1980,5,5.8
"Drama,Mystery,Romance","Desert Phantom",1936,65,5.9
"Drama","The Wind",1974,60,7.2
"Western","The Gay Caballero",1940,49,6.1
"Drama","Ich dzien powszedni",1963,23,6.7
"Comedy,Drama","Tagahoovis",1957,7,5.7
"Western","Lady by Law",1959,7,6.7
"Drama","Regasirea",1977,10,6.3
"Drama","The Angry Toy",1984,34,6.9
"Comedy,Fantasy,Romance","Adventurous Knights",1935,11,5.2
"Drama","The Bloody Sea",1974,157,5.7
"Western","The Ditch",1962,85,7.8
"Mystery","Delayed Action",1954,44,5.5
"Crime,Drama","The Edge of Fear",1966,15,8.0
"Comedy,Musical,Romance","The Belle of New York",1952,774,6.2
"Crime,Drama,Mystery","A Message from the Deep Sea",1971,70,7.6
"Drama","Dabruneba",1977,7,8.7
"Comedy","The Stepmother",1963,30,7.7
"Drama","Once Upon a Knight",1960,7,6.9
"Comedy","Break a Leg, Stephanie",1982,16,6.2
"Adventure,Comedy,Drama","Spending Spree/The Hunted",1979,34,6.8
"Documentary,Short","Casa de pe strada noastra",1957,12,7.3
"Comedy,Drama,Musical","As Long as They're Happy",1955,92,5.7
"Comedy,Drama","Den forsvundne fuldmægtig",1971,312,7.0
"Comedy","Sovinisticka farsa",1986,32,6.8
"Crime,Drama,Horror","Black Friday",1940,1847,6.3
"Documentary","Courtship",1961,6,6.2
"Comedy","Fridolfs farliga ålder",1959,89,6.0
"Comedy,Short","Manhattan Monkey Business",1935,34,7.0
"Comedy","Sturm im Wasserglas",1969,8,8.2
"Action,Adventure,Family","The Secret Pool",1957,16,7.6
"Comedy","Rikki Fulton's Rev. IM Jolly & Friends",2004,11,8.3
"Comedy,Family","Click",1971,93,7.6
"Comedy,Crime","Le bellissime gambe di Sabrina",1958,23,6.7
"Crime,Romance","Kärlekens ögon",1922,25,7.0
"Action,Adventure,Drama","The Scarlet Horseman",1946,16,5.8
"Comedy","L'allegro fantasma",1941,77,5.6
"Western","Hung Jury",1957,19,7.9
"Comedy,Short","Termites of 1938",1938,396,7.9
"Crime,Drama,Mystery","The Lost Man",1974,5,8.4
"History,Short","New Roadways",1939,47,5.6
"Crime,Drama","The Man Who Changed His Name",1934,22,5.6
"Animation,Short","2n: A Story of the Power of Numbers",1961,21,6.3
"Action,Adventure","The Saint Story",1961,9,7.8
"Drama","Close to My Heart",1951,333,6.6
"Comedy,Western","Three Queens Full",1961,44,8.6
"Comedy","Betty Jo Catches the Bouquet",1966,19,7.4
"Action,Crime,Drama","Key Largo",1948,34880,7.8
"Drama","Didi",1959,27,8.0
"Crime","Three Witnesses",1935,18,5.2
"Comedy","Julie's First Love",1982,13,6.8
"Drama","Theater of Life",1958,6,6.2
"Adventure,Crime,Drama","Red Badge of Death",1956,7,7.9
"Short","Ripples",1967,93,6.4
"Comedy,Family,Fantasy","Ed Cries Wolf",1961,28,8.0
"Comedy,War","The Man and the Hour",1968,136,7.4
"Comedy","The Poster",1973,45,7.9
"Animation,Comedy,Family","Movie Madness",1951,13,5.3
"Comedy,Musical,Sport","Cowboy from Brooklyn",1938,228,5.8
"Drama","Lain mukaan",1956,27,5.7
"Drama","Facing Fearful Odds",1974,43,7.3
"Crime,Drama,Mystery","The Case of the Woeful Widower",1964,107,8.1
"Animation,Comedy,Short","The Jeep",1938,136,6.8
"Action,Crime,Drama","Jigsaw",1961,36,7.8
"Mystery,Thriller","Il baco da seta",1974,26,6.1
"Horror,Short","Specter of the Sea",1912,8,5.9
"Drama","The Comedy of Errors",1964,8,7.4
"Comedy,Short","Battling Sisters",1929,8,5.8
"Comedy,Mystery","Bulldog Drummond Strikes Back",1934,276,7.0
"Comedy,Family","The Secret Life of Sergeant Bilko",1957,18,8.7
"Drama","No matarás",1943,9,7.1
"Comedy","Las que tienen que servir",1967,121,4.8
"Crime,Drama","Série noire",1979,2344,7.7
"Comedy","Everything for the Woman",1934,6,5.8
"Documentary,Short","Whalehead",1963,6,7.7
"Drama","Macbeth",1983,303,6.8
"Short,Western","Border River",1919,13,7.2
"Comedy","Schrammeln",1944,40,7.3
"Crime,Documentary","Within a Hair",2002,40,6.9
"Drama","I Was a Parish Priest",1953,50,7.2
"Drama","Ann Carver's Profession",1933,158,5.9
"Adventure","The White Scar",1915,10,1.1
"Drama","Of Mice and Men",1939,5161,7.9
"Adventure,Animation,Family","The Smugglers",1958,8,1.5
"Comedy,Drama,History","The Prince and the Pauper",1957,6,8.0
"Comedy","Limosneros con garrote",1961,8,6.9
"Drama","Studentin Helene Willfüer",1956,13,5.3
"Comedy,Documentary,Drama","Goodbye, How Are You?",2009,141,8.0
"Adventure,Drama,Family","The Tomb of the Cybermen: Episode 3",1967,404,8.3
"Comedy,Crime,Drama","The Hostess with the Mostes'",1957,6,7.5
"Crime,Drama","The Abduction of Baynard Barnes",1972,5,8.4
"Adventure,Comedy","Ando volando bajo",1959,22,7.5
"Comedy,Music","Episode #5.2",1978,8,6.4
"Action,Adventure,Animation","The Defiant Mask of Vulcan",1963,10,5.5
"Western","The Desperate Sheriff",1951,6,7.0
"Animation,Comedy,Family","Bee on Guard",1951,328,6.9
"Mystery,Romance","Sabar Uparey",1955,71,7.8
"Drama","Mujeres engañadas",1961,7,6.1
"Drama","Open All Night",1934,25,5.8
"Drama","Hairpins",1920,8,6.0
"Action","Torakku yarô: Bôkyô Ichibanboshi",1976,14,7.3
"Western","Pioneer Circus",1959,11,8.5
"Comedy,Musical","Fuiste mía un verano",1969,18,6.3
"Western","Trademark",1961,10,6.3
"Comedy","Skiing Anyone?",1971,14,7.1
"Adventure,Drama,Sci-Fi","Space Warp",1976,130,6.2
"Comedy,Crime,Drama","Flight to the East",1958,195,6.7
"Drama","Skadeskutt",1951,50,6.2
"Animation,Comedy,Family","Crazy with the Heat",1947,397,6.2
"Adult","Sweet Wet Lips",1977,6,7.2
"Crime,Drama","The Billion Dollar Scandal",1933,22,7.2
"Drama","The Beatnik and the Politician",1964,6,7.2
"Comedy,Drama,Horror","The Mad Doctor of Market Street",1942,275,5.2
"Comedy,Short","So You Want to Be Your Own Boss",1954,15,6.6
"Drama,Fantasy,Horror","The Miracle at Camafeo/The Ghost of Sorworth Place",1972,154,7.4
"Action,Adventure,Comedy","Cutback at Control",1967,99,8.2
"Action,Crime","Yadonashi inu",1964,8,6.6
"Western","The Honorable Don Charlie Story",1958,37,7.2
"Comedy,Music","The Farmer's Daughter",1940,47,6.9
"Animation,Family,Short","Herr Bohm och sillen",1988,26,7.5
"Drama,Fantasy","The Guards",1965,32,6.1
"Comedy,Family,Fantasy","Sam's Double Mother Trouble",1969,143,5.9
"Adventure,Animation,Comedy","Carry On, Nurse Fred",1963,88,7.4
"Animation,Short","Zerkalo vremeni",1976,22,6.8
"Comedy,Romance","Mundhinam Paartheney",2010,5,7.4
"Comedy","A zebegényiek",1979,33,7.7
"Comedy,Family","Angel on the Island",1964,123,6.8
"Comedy,Drama,Fantasy","Pain Killer",1984,298,6.0
"Comedy","Inventiamo l'amore",1938,7,5.1
"Comedy,Drama,Music","Sometimes It Happens",1956,6,7.5
"Comedy,Music,Short","Hana Hegerová: Zhasnete lampiony",1962,8,8.2
"Short","La guerre du feu",1915,7,7.0
"Action,Adventure,Animation","The Owl Man",1965,9,2.4
"Crime,Drama,Film-Noir","Riot in Cell Block 11",1954,1494,7.0
"Western","Old Slanders",1961,17,8.2
"Action,Adventure,War","The Last of the Vikings",1961,169,5.0
"Crime,Thriller","Meeting in the Night",1946,23,6.3
"Crime,Drama,Mystery","Memento Mori",1998,32,8.6
"Adventure,Family","Leopard of Madla George",1966,5,6.2
"Drama","The Black Panther's Cub",1921,6,5.3
"Drama","A Bad Son",1980,785,7.3
"Adventure,Comedy,Romance","Annabel Takes a Tour",1938,209,5.7
"Animation,Comedy,Short","Chertyonok s pushistym khvostom",1985,31,6.8
"Comedy","Nutty, Naughty Chateau",1963,82,6.0
"Comedy,Family","Pardon My Accent",1958,14,7.9
"Drama,Romance","The Village Blacksmith",1922,68,5.0
"Drama","Pretty Maids All in a Row",1998,16,7.4
"Comedy,Drama","The Floor Below",1918,22,6.7
"Comedy,Romance","Too Bad She's Bad",1954,708,6.8
"Comedy,Romance","Ödipussi",1988,3120,7.5
"Action,Adventure,Romance","The Royal Mounted Patrol",1941,12,7.0
"Comedy","Ericson the Viking",1958,13,7.8
"Action,Adventure,Drama","Happy-Go-Lucky",1936,47,5.2
"Action,Adventure,Drama","Captain Pirate",1952,224,6.3
"Crime,Drama","Obsession",1954,93,6.6
"Drama,Romance,Short","Alma's Champion",1912,7,2.6
"Action,Adventure,Romance","The Round Up",1941,33,6.1
"Documentary","Isle of Levant",1956,5,7.6
"Adventure,Music,Romance","Western Trails",1938,22,5.4
"Crime,Drama,Mystery","The Case of the Nervous Neighbor",1964,111,8.7
"Animation,Short","Dve skazki",1962,49,7.2
"Documentary,History,War","The Rise and Fall of the Third Reich",1968,240,7.9
"Drama","Katka-bumazhnyy ranet",1926,77,7.2
"Drama,Music","The Right Approach",1961,72,5.4
"Action,Adventure,Crime","Counterfeit Angels",1979,82,7.9
"Comedy","Relief Bartender",1983,15,6.0
"Action,Crime,Drama","The Jar: Part 2",1976,9,8.1
"Comedy,Musical","Kriminaltango",1960,83,5.7
"Comedy","Nymalt",1990,5,4.8
"Comedy","The American Beauty",1961,479,6.4
"Crime,Drama,Mystery","The Wall",1965,18,7.2
"Drama,Fantasy,Horror","Episode #1.218",1967,46,7.3
"Drama,Romance","Girl with Green Eyes",1964,957,7.1
"Adventure,Animation,Family","Peter Pan",1953,116692,7.3
"Crime,Drama","Maria Marten, or The Murder in the Red Barn",1935,265,5.9
"Comedy,Short","Keeping in Shape",1942,25,6.6
"Drama","The Hawaiians",1970,907,6.2
"Comedy,History,War","A Woman Never Lies",1992,93,7.9
"Animation,Short","Nash dobriy master",1977,5,6.8
"Comedy","Lucy Gets Trapped",1967,43,7.4
"Drama","Backbiters",1924,118,6.3
"Western","The Naked Hills",1956,164,5.5
"Documentary","The Leopard Son",1996,154,7.5
"Animation,Comedy,Family","Scalp Trouble",1939,129,6.7
"Drama","Descent Into Hell",1954,8,6.6
"Comedy,Family","Wally, the Author",1965,5,9.0
"Drama","Are We Civilized?",1934,33,5.4
"Drama","Vivre Sa Vie",1962,24373,8.0
"Drama","Ablam",1974,12,7.4
"Animation,Comedy,Family","Tiger Trouble",1945,445,7.1
"Drama,War","Stalingrad: Dogs, Do You Want to Live Forever?",1959,637,7.2
"Drama","The Flood",1924,25,6.7
"Biography,Drama,History","The Hitler Gang",1944,102,6.8
"Comedy,Drama","A Successful Calamity",1932,329,6.9
"Animation,Fantasy,Short","The Boy in the Bubble",2011,316,7.3
"Horror,Short","The Green Door",2005,9,7.6
"Drama,Romance","Levoton veri",1946,187,6.8
"Comedy","Coeur de coq",1946,20,6.8
"Crime,Drama,Mystery","Small Potatoes",1978,34,5.1
"Animation,Comedy,Family","Lonesome Ranger",1966,19,4.9
"Horror,Sci-Fi","Garden of the Dead",1972,395,4.0
"Adventure,Drama,Family","Fly Away Home",1966,6,7.2
"Musical","Let's Go Steady",1945,6,6.5
"Comedy","Ellie Gives Joey First Aid",1963,7,7.4
"Family,Fantasy","Husiarka a král",1983,9,5.3
"Drama","Beijing Herbs",2000,6,7.8
"Comedy,Romance","Motylem jestem, czyli romans czterdziestolatka",1976,83,5.6
"Documentary,Short","The Mission Trail",1946,29,6.6
"Adventure,Biography,Drama","Lawrence of Arabia",1962,249880,8.3
"Action,Comedy,Western","Ghost Town Renegades",1947,114,6.3
"Drama,Thriller","Brainstorm",1965,467,6.7
"Short","You and Your Family",1946,19,3.1
"Crime,Drama","FBI Code 98",1963,27,6.0
"Drama","Conscience",1948,49,7.6
"Biography,Drama,History","Home",1968,11,7.7
"Comedy,Drama,Music","Cleo from 5 to 7",1962,13395,7.9
"Action,Adventure,Comedy","Herbie Goes to Monte Carlo",1977,6328,5.6
"Western","Frontier Law",1953,13,7.6
"Short","Tu ne tueras point",1909,5,6.2
"Adventure,Animation,Comedy","Everything's Ducky",1963,17,6.1
"Drama,Romance","Star of My Night",1954,23,4.9
"Action,Crime,Drama","Marine Drive",1955,17,6.4
"Comedy","Love on a Budget",1938,32,5.9
"Comedy","Young as You Feel",1931,20,6.9
"Drama","Mister Buddwing",1966,983,6.1
"Crime,Drama,Mystery","The Case of the Festive Felon",1963,121,8.3
"Comedy,Short","Swiety Mikolaj pilnie poszukiwany",1974,7,5.0
"Animation,Comedy,Family","Any Bonds Today?",1942,296,5.2
"Animation,Comedy,Family","Topsy Turvy World: Parts 9-10",1962,6,7.7
"Western","The Ballerina",1965,69,7.9
"Crime,Drama,Mystery","Bloodline",1979,1330,4.6
"Crime","Le diable en ville",1989,23,7.2
"Comedy,Romance","Seven Chances",1925,8448,7.9
"Comedy,Romance","Nepoddayushchiyesya",1959,312,7.3
"Adventure,Sci-Fi","Teenage Cave Man",1958,1232,3.2
"Drama,History,Romance","Solomon and Sheba",1959,2688,6.2
"Comedy","New York Town",1941,44,6.7
"Comedy,Family,Fantasy","Ed's Juice Stand",1965,24,7.1
"Mystery","The Crime Doctor's Courage",1945,225,6.2
"Crime,Drama","Out of the Fog",1941,1206,6.9
"Fantasy,Romance","Madame White Snake",1956,51,6.7
"Adventure,Comedy,Romance","A Narrow Escape",1920,48,6.8
"Fantasy,Sci-Fi","Queen of Atlantis",1932,495,6.1
"Drama","Valmiki",1963,12,7.1
"Comedy,Short","The Grand Hooter",1937,21,6.6
"Comedy","Drei Mann auf einem Pferd",1957,11,8.1
"Comedy","Sputnik",1958,58,5.2
"Animation,Comedy,Family","The Vanishing Duck",1958,466,7.1
"Comedy,Western","Chip of the Flying U",1926,7,6.1
"Comedy","Ronnie's Bashful",1956,11,8.8
"Action,Animation,Comedy","The Witch of Pickyoon, Part 2",1965,8,7.1
"Drama,History","The Salonika Terrorists",1961,104,6.6
"Drama","Fatalità",1947,9,5.4
"Comedy","Go with the Flow",1986,30,7.7
"Action,Animation,Comedy","Le secret de la pyramide",2001,9,6.2
"Comedy,Romance,Sport","The Plastic Age",1925,262,6.1
"Crime,Drama,Mystery","Voice Without a Shadow",1958,195,6.7
"Drama,Short","Fight for the Title",1957,14,6.0
"Comedy,Drama","Ginger and Fred",1986,4357,7.3
"Western","The Measure of a Man",1969,15,8.7
"Mystery","Death at a Broadcast",1934,144,6.0
"Action,Adventure,Animation","The Crime Computer/The Great Scarecrow Scare",1968,18,6.1
"Animation,Comedy,Family","A Mutt in a Rut",1959,174,7.1
"Action,Comedy","The Impossible Kid of Kung Fu",1982,376,5.5
"Western","Topeka",1953,25,7.4
"Comedy","Chi dice donna dice donna",1976,21,5.6
"Animation,Short","The Ostrich Egg and I",1956,19,6.6
"Action,Crime,Drama","Walk a Double Line",1974,26,7.4
"Drama","Az élet királya",1918,6,7.0
"Western","Saddle Tramp",1950,359,7.0
"Comedy,Crime,Drama","Meet McGraw",1954,24,8.0
"Drama,Short","The Final Settlement",1910,8,4.6
"Comedy","'Franco e Ciccio... Ladro e Guardia'",1969,47,5.5
"Adventure,Drama,War","Ice Cold in Alex",1958,4674,7.8
"Western","Mission to Glory: A True Story",1977,48,5.4
"Western","Dark Secret",1959,23,8.6
"Comedy","A New Girl in Town",1984,28,7.7
"Comedy,Music","Chesterfield Sound Off Time",1951,7,6.6
"Drama,Fantasy,Horror","Episode #1.1101",1970,6,6.8
"Action,Adventure,Crime","Wings Over Africa",1936,15,3.2
"Comedy","Clem the Bullfighter",1958,5,7.2
"Romance","Pohádka máje",1940,22,6.1
"Comedy","Hello Mother, Goodbye!",1974,200,9.0
"Drama,Romance","The House of Smiles",1991,192,6.7
"Action,Sci-Fi,Thriller","The Education of Jaime Sommers",2007,143,6.1
"Drama","Schattenspiel",1964,6,7.8
"Animation,Comedy,Family","Fur Out Furlough/Barn Dance/Hot Soup/Muttley on the Bounty/Sappy Birthday",1969,30,7.4
"Drama,War","Sissit",1963,289,7.0
"Western","Brush at Elkader",1956,96,8.1
"Drama,Romance,Sport","Saturday's Heroes",1937,127,5.8
"Drama","Private Worlds",1935,235,6.6
"Crime,Drama","Attempted Murder",1973,28,6.5
"Drama","Rice Girl",1956,65,6.2
"Western","Bitter Creek",1954,71,6.6
"Comedy","Sprawa do zalatwienia",1953,20,5.8
"Comedy,Mystery,Thriller","Thrilling",1965,81,6.7
"Documentary,Horror","Monster Mania",1997,84,7.6
"Comedy","Six of a Kind",1934,565,6.8
"Comedy","Lucy and the Beauty Doctor",1965,22,7.4
"Western","The Last Round-Up",1934,16,6.3
"Drama,Musical,Romance","Madragoa",1952,10,6.9
"Drama,Romance,Western","Hiawatha",1952,63,6.3
"Action,Adventure,Family","The Devil You Don't Know",1959,11,8.6
"Drama,War","Solveigin laulu",1974,60,7.9
"Drama","I epistrofi tis Mideias",1968,8,3.1
"Comedy","Story of the Invisible Glass",1955,12,9.4
"Adventure,Animation,Comedy","Flea Ring Circus",1961,9,7.1
"Drama","Medallion Theatre",1953,18,6.9
"Comedy,Fantasy","Francis Goes to the Races",1951,365,6.5
"Crime,Drama","Gokudo",1968,14,5.3
"Action,Adventure,Comedy","Masquerade for Murder",1959,27,7.4
"Drama","The Deceiving Eye",1955,5,7.8
"Drama","Valfångare",1939,9,6.8
"Comedy","Tomorrow We Move",2004,390,6.0
"Sci-Fi,Short","Pierwszy pawilon",1968,24,6.5
"Action,Animation,Comedy","Rock 'n' Roll Altitude",1998,13,6.1
"Adventure,Family,Western","The Quest",1978,15,8.1
"Drama","Greshnitsa",1962,5,6.0
"Animation,Short","Le Great Dane Robbery",1968,42,6.1
"Animation,Short","Begemotik",1975,55,6.4
"Action,Drama","The Rebel",1933,17,7.0
"Animation,Short","Bridgework",1970,5,5.6
"Drama,War","An französischen Kaminen",1962,6,7.0
"Comedy,Short","Roaming Romeo",1928,22,6.8
"Drama","Travail",1920,8,6.9
"Drama","Out",1971,16,6.2
"Drama,Romance","Waldrausch",1977,46,3.2
"Crime,Drama","Storm Warning",1967,13,7.8
"Musical","Das Mädchen aus Mira",1966,6,9.3
"Comedy,Romance","Easy Living",1937,2781,7.6
"Action,Adventure,Drama","Treasure",1960,21,7.4
"Crime","Payment in Kind",1966,18,7.5
"Animation,Comedy,Family","The Goofy Gophers",1947,233,7.2
"Drama","Total Recall",1955,8,8.5
"Drama","The Danger Signal",1925,11,7.3
"Drama,Family,Romance","Blind Journey: Part 2",1978,142,8.4
"Adventure","Attack at Ras El Ma",1957,5,5.4
"Drama,Fantasy,Horror","Episode #1.270",1967,32,7.7
"Drama,Short","Vy chyo, starichyo?",1982,7,7.3
"Drama,War","Back to Bataan",1945,3429,6.7
"Crime,Drama","Invitation to Murder",1970,6,7.3
"Comedy,Family","Family in Paradise: Part 1",1970,17,7.5
"Comedy,Family,Short","Crazy House",1928,21,6.4
"Drama","The Suburban Vicar",1917,12,5.9
"Comedy,Drama","Money Means Nothing",1934,76,5.5
"Comedy","Las noches de Paloma",1978,18,5.5
"Comedy,Family","Bilko Retires from Gambling",1958,13,8.0
"Comedy,Short","Moron Than Off",1946,7,3.9
"Drama","Todos son mis hijos!...",1951,14,7.2
"Romance,Short","The Coming of Angelo",1913,15,5.9
"Drama","Free at Last",2010,102,7.8
"Short,Western","Past Redemption",1913,11,7.2
"Drama","Flood Tide",1934,15,5.9
"Action,Crime,Drama","Chain Gang",1950,79,5.1
"Comedy,Short","Don't Park Here",1920,5,5.0
"Comedy","Bentley, the Model Citizen",1960,7,7.9
"Drama","What the Footman Saw",1973,44,7.2
"Crime,Drama,Mystery","Nothing Ever Happens in Linvale",1963,202,8.5
"Comedy,Romance,Thriller","Eskapade",1936,9,6.8
"Adventure,Animation,Drama","Konnichiwa obâ-sama",1974,30,6.2
"Drama","The Vagabond",1970,14,6.6
"Crime,Drama","Crime and Punishment",1935,104,7.0
"Drama,Mystery,Sci-Fi","Alphaville",1965,20954,7.2
"Comedy","Come in Sunray Major",1990,31,7.9
"Comedy,Family","Ozzie Changes History",1959,5,5.6
"Comedy","Der keusche Lebemann",1952,11,5.2
"Crime,Drama","99 Women",1969,1165,4.7
"Action,Western","Santa Fe Passage",1955,293,6.0
"Comedy","Paco the Infallible",1979,33,5.4
"Drama","The Sirat Bridge",1966,5,5.2
"Crime,Drama,Mystery","Fall High Fall Hard",1965,15,8.0
"Documentary","Amazing World of Ghosts",1978,34,6.4
"Action,Adventure,Family","Six Strings to His Bow",1960,7,8.4
"Action,Adventure,Drama","The Brute Breaker",1919,9,6.0
"Action,Adventure,Crime","Three in One",1958,61,8.1
"Comedy,Romance","She's Got Everything",1937,177,6.1
"Comedy,Horror,Music","Ghost Catchers",1944,121,5.8
"Music","Grand Ole Opry 65th Anniversary",1991,5,4.0
"Adventure","Don Quichotte",1933,16,5.3
"Drama","Tarpany",1962,8,5.6
"Comedy,Romance","Fanfaren der Liebe",1951,116,5.1
"Adventure,Animation,Family","Sinbad Jr. and Instant Nothing",1965,7,6.0
"Romance,Western","The Man from Colorado",1948,1344,6.6
"Comedy","El difunto es un vivo",1941,29,6.0
"Western","Captain Sligo",1971,82,5.7
"Action,Adventure,Crime","My Friend Superman",1953,81,8.0
"Drama,Fantasy","The Gift of Life",1987,47,9.0
"Comedy,Short","The Trophy Hunter",2012,19,5.6
"Comedy","Les dégourdis de la 11ème",1937,36,5.9
"Drama,Fantasy","Liliom",1934,984,6.9
"Comedy,Musical","Taxi-Kitty",1950,9,6.9
"Adventure,Drama,Romance","All the Brothers Were Valiant",1923,20,6.2
"Comedy","The Dancer and the Worker",1936,45,6.9
